epoch,learning_rate,stochastic,binary,which_data,outputlayer,this_training_loss,this_validation_loss,test_score
1,0.300000011921,False,True,mnist,Logistic,0.026800000000000001,0.0344,0.038599999999999995
2,0.298981368542,False,True,mnist,Logistic,0.0071999999999999998,0.024099999999999993,0.030100000000000002
3,0.297966182232,False,True,mnist,Logistic,0.0018000000000000002,0.02,0.023700000000000002
4,0.296954452991,False,True,mnist,Logistic,0.00089999999999999998,0.019200000000000005,0.023599999999999999
5,0.295946151018,False,True,mnist,Logistic,0.0,0.018800000000000001,0.019500000000000003
6,0.294941276312,False,True,mnist,Logistic,0.0,0.018000000000000002,0.019199999999999998
7,0.293939828873,False,True,mnist,Logistic,0.0,0.0177,0.0189
8,0.292941778898,False,True,mnist,Logistic,0.0,0.017899999999999999,0.018800000000000004
9,0.291947126389,False,True,mnist,Logistic,0.0,0.017800000000000003,0.0189
10,0.290955841541,False,True,mnist,Logistic,0.0,0.017600000000000001,0.018600000000000002
11,0.289967924356,False,True,mnist,Logistic,0.0,0.017500000000000002,0.018600000000000002
12,0.288983345032,False,True,mnist,Logistic,0.0,0.017400000000000002,0.018600000000000002
13,0.288002133369,False,True,mnist,Logistic,0.0,0.017400000000000002,0.018600000000000002
14,0.287024229765,False,True,mnist,Logistic,0.0,0.017400000000000002,0.018500000000000003
15,0.286049664021,False,True,mnist,Logistic,0.0,0.017100000000000001,0.018500000000000003
16,0.285078406334,False,True,mnist,Logistic,0.0,0.017000000000000001,0.018500000000000003
17,0.284110426903,False,True,mnist,Logistic,0.0,0.017100000000000001,0.018500000000000003
18,0.283145755529,False,True,mnist,Logistic,0.0,0.017100000000000001,0.018500000000000003
19,0.282184362411,False,True,mnist,Logistic,0.0,0.017000000000000001,0.018500000000000003
20,0.281226217747,False,True,mnist,Logistic,0.0,0.017000000000000001,0.018500000000000003
21,0.280271321535,False,True,mnist,Logistic,0.0,0.017000000000000001,0.0184
22,0.279319673777,False,True,mnist,Logistic,0.0,0.017100000000000001,0.0184
23,0.278371274471,False,True,mnist,Logistic,0.0,0.017100000000000001,0.0184
24,0.277426093817,False,True,mnist,Logistic,0.0,0.017000000000000001,0.0184
25,0.276484102011,False,True,mnist,Logistic,0.0,0.016900000000000002,0.0184
