epoch,learning_rate,stochastic,binary,which_data,outputlayer,this_training_loss,this_validation_loss,test_score
1,0.00300000002608,False,True,cifar10,Logistic,0.53159999999999996,0.52980000000000005,0.52890000000000004
2,0.00295644300058,False,True,cifar10,Logistic,0.43040000000000006,0.43920000000000003,0.44429999999999997
3,0.00291351834312,False,True,cifar10,Logistic,0.34079999999999999,0.3982,0.39290000000000008
4,0.00287121697329,False,True,cifar10,Logistic,0.27080000000000004,0.37420000000000003,0.37390000000000001
5,0.00282952957787,False,True,cifar10,Logistic,0.20180000000000003,0.36260000000000003,0.36319999999999991
6,0.00278844754212,False,True,cifar10,Logistic,0.14580000000000001,0.36059999999999998,0.36380000000000001
7,0.00274796201847,False,True,cifar10,Logistic,0.096200000000000008,0.35439999999999999,0.36649999999999999
8,0.00270806415938,False,True,cifar10,Logistic,0.056400000000000006,0.3468,0.35820000000000002
9,0.00266874558292,False,True,cifar10,Logistic,0.035800000000000005,0.3488,0.35670000000000002
10,0.00262999790721,False,True,cifar10,Logistic,0.0206,0.34539999999999987,0.35570000000000002
11,0.00259181298316,False,True,cifar10,Logistic,0.0092000000000000016,0.34499999999999992,0.35419999999999996
12,0.00255418242887,False,True,cifar10,Logistic,0.0025999999999999999,0.3422,0.35159999999999997
13,0.00251709809527,False,True,cifar10,Logistic,0.00080000000000000004,0.34539999999999998,0.35310000000000002
14,0.00248055229895,False,True,cifar10,Logistic,0.0,0.34399999999999997,0.35099999999999992
15,0.00244453712367,False,True,cifar10,Logistic,0.0,0.34380000000000005,0.35070000000000001
16,0.00240904488601,False,True,cifar10,Logistic,0.0,0.34460000000000002,0.35019999999999996
17,0.00237406790257,False,True,cifar10,Logistic,0.0,0.34360000000000007,0.35009999999999997
18,0.00233959872276,False,True,cifar10,Logistic,0.0,0.34360000000000007,0.3508
19,0.002305629896,False,True,cifar10,Logistic,0.0,0.34199999999999997,0.35070000000000001
20,0.00227215443738,False,True,cifar10,Logistic,0.0,0.34179999999999994,0.35109999999999997
21,0.00223916489631,False,True,cifar10,Logistic,0.0,0.34019999999999995,0.35070000000000001
22,0.00220665428787,False,True,cifar10,Logistic,0.0,0.33979999999999999,0.35020000000000001
23,0.00217461585999,False,True,cifar10,Logistic,0.0,0.33940000000000003,0.34939999999999999
24,0.00214304262772,False,True,cifar10,Logistic,0.0,0.33960000000000001,0.34929999999999994
25,0.00211192760617,False,True,cifar10,Logistic,0.0,0.34040000000000004,0.34869999999999995
26,0.00208126450889,False,True,cifar10,Logistic,0.0,0.34039999999999992,0.34860000000000002
27,0.0020510465838,False,True,cifar10,Logistic,0.0,0.34000000000000002,0.34909999999999997
28,0.00202126731165,False,True,cifar10,Logistic,0.0,0.33979999999999988,0.34769999999999995
29,0.001991920406,False,True,cifar10,Logistic,0.0,0.33960000000000001,0.34720000000000001
30,0.00196299958043,False,True,cifar10,Logistic,0.0,0.33939999999999992,0.34689999999999999
