epoch,learning_rate,stochastic,binary,which_data,outputlayer,this_training_loss,this_validation_loss,test_score
1,0.00999999977648,False,False,svhn,Logistic,0.13000000000000003,0.13068493150684932,0.15096153846153848
2,0.00999999977648,False,False,svhn,Logistic,0.082328767123287669,0.10821917808219178,0.12334615384615384
3,0.00999999977648,False,False,svhn,Logistic,0.059999999999999998,0.10493150684931507,0.11965384615384617
4,0.00999999977648,False,False,svhn,Logistic,0.04301369863013698,0.1073972602739726,0.12261538461538463
5,0.00999999977648,False,False,svhn,Logistic,0.026027397260273977,0.10904109589041094,0.12446153846153846
6,0.00999999977648,False,False,svhn,Logistic,0.021780821917808217,0.11123287671232879,0.12630769230769232
7,0.00999999977648,False,False,svhn,Logistic,0.011232876712328768,0.10054794520547945,0.1210769230769231
8,0.00999999977648,False,False,svhn,Logistic,0.015753424657534244,0.11027397260273973,0.1267692307692308
9,0.00999999977648,False,False,svhn,Logistic,0.0091780821917808245,0.10369863013698631,0.12161538461538464
10,0.00999999977648,False,False,svhn,Logistic,0.0079452054794520565,0.10164383561643836,0.12165384615384617
11,0.00999999977648,False,False,svhn,Logistic,0.009178082191780821,0.10123287671232878,0.11661538461538463
12,0.00999999977648,False,False,svhn,Logistic,0.0071232876712328773,0.10452054794520549,0.11711538461538462
13,0.00999999977648,False,False,svhn,Logistic,0.0045205479452054788,0.1006849315068493,0.11811538461538462
14,0.00999999977648,False,False,svhn,Logistic,0.00095890410958904119,0.094520547945205466,0.11130769230769232
15,0.00999999977648,False,False,svhn,Logistic,0.0,0.092602739726027394,0.10846153846153847
