epoch,learning_rate,stochastic,binary,which_data,outputlayer,this_training_loss,this_validation_loss,test_score
1,0.00300000002608,True,True,cifar10,svm,0.66679999999999995,0.6714,0.66509999999999991
2,0.00295644300058,True,True,cifar10,svm,0.55160000000000009,0.59680000000000011,0.59310000000000007
3,0.00291351834312,True,True,cifar10,svm,0.47659999999999991,0.57019999999999993,0.55910000000000004
4,0.00287121697329,True,True,cifar10,svm,0.42299999999999999,0.54960000000000009,0.53410000000000002
5,0.00282952957787,True,True,cifar10,svm,0.38019999999999998,0.5252,0.52310000000000001
6,0.00278844754212,True,True,cifar10,svm,0.3362,0.51660000000000006,0.51249999999999996
7,0.00274796201847,True,True,cifar10,svm,0.29580000000000001,0.50519999999999998,0.50649999999999995
8,0.00270806415938,True,True,cifar10,svm,0.25679999999999997,0.49579999999999996,0.50229999999999997
9,0.00266874558292,True,True,cifar10,svm,0.223,0.49400000000000011,0.49980000000000002
10,0.00262999790721,True,True,cifar10,svm,0.18779999999999997,0.4917999999999999,0.49579999999999996
11,0.00259181298316,True,True,cifar10,svm,0.15219999999999997,0.49059999999999993,0.49450000000000005
12,0.00255418242887,True,True,cifar10,svm,0.12140000000000001,0.48839999999999995,0.49480000000000002
13,0.00251709809527,True,True,cifar10,svm,0.099000000000000005,0.48700000000000004,0.49469999999999997
14,0.00248055229895,True,True,cifar10,svm,0.076999999999999999,0.48760000000000003,0.49560000000000004
15,0.00244453712367,True,True,cifar10,svm,0.058399999999999987,0.49180000000000001,0.49650000000000005
16,0.00240904488601,True,True,cifar10,svm,0.040399999999999998,0.49180000000000001,0.49890000000000001
17,0.00237406790257,True,True,cifar10,svm,0.027800000000000002,0.49440000000000006,0.49959999999999999
18,0.00233959872276,True,True,cifar10,svm,0.018800000000000004,0.4920000000000001,0.50080000000000002
19,0.002305629896,True,True,cifar10,svm,0.011800000000000001,0.4946000000000001,0.50240000000000007
20,0.00227215443738,True,True,cifar10,svm,0.0064000000000000012,0.4966000000000001,0.50470000000000004
21,0.00223916489631,True,True,cifar10,svm,0.0048000000000000013,0.49920000000000009,0.50540000000000007
22,0.00220665428787,True,True,cifar10,svm,0.0036000000000000003,0.49860000000000004,0.50520000000000009
23,0.00217461585999,True,True,cifar10,svm,0.0030000000000000005,0.49859999999999999,0.50629999999999997
24,0.00214304262772,True,True,cifar10,svm,0.0023999999999999998,0.49880000000000002,0.50819999999999999
25,0.00211192760617,True,True,cifar10,svm,0.00080000000000000004,0.49940000000000007,0.50880000000000014
26,0.00208126450889,True,True,cifar10,svm,0.00080000000000000004,0.50019999999999998,0.50880000000000003
27,0.0020510465838,True,True,cifar10,svm,0.00059999999999999995,0.49979999999999997,0.50900000000000001
28,0.00202126731165,True,True,cifar10,svm,0.00059999999999999995,0.50059999999999993,0.50859999999999994
29,0.001991920406,True,True,cifar10,svm,0.00059999999999999995,0.50120000000000009,0.50890000000000002
30,0.00196299958043,True,True,cifar10,svm,0.00040000000000000002,0.502,0.50840000000000007
