epoch,learning_rate,stochastic,binary,which_data,outputlayer,this_training_loss,this_validation_loss,test_score
1,0.00999999977648,False,True,svhn,svm,0.55342465753424663,0.56164383561643838,0.55369230769230759
2,0.00999999977648,False,True,svhn,svm,0.27397260273972601,0.29684931506849316,0.29719230769230776
3,0.00999999977648,False,True,svhn,svm,0.19315068493150683,0.20917808219178083,0.2148846153846154
4,0.00999999977648,False,True,svhn,svm,0.16315068493150686,0.18315068493150685,0.19123076923076926
5,0.00999999977648,False,True,svhn,svm,0.14410958904109589,0.16945205479452055,0.18026923076923079
6,0.00999999977648,False,True,svhn,svm,0.12999999999999998,0.16150684931506848,0.17261538461538464
7,0.00999999977648,False,True,svhn,svm,0.11876712328767125,0.15479452054794521,0.1670769230769231
8,0.00999999977648,False,True,svhn,svm,0.10657534246575341,0.15068493150684931,0.16400000000000003
9,0.00999999977648,False,True,svhn,svm,0.097945205479452055,0.14684931506849314,0.16207692307692309
10,0.00999999977648,False,True,svhn,svm,0.0915068493150685,0.14561643835616436,0.1598846153846154
11,0.00999999977648,False,True,svhn,svm,0.084246575342465754,0.14438356164383562,0.16015384615384615
12,0.00999999977648,False,True,svhn,svm,0.075479452054794519,0.14260273972602741,0.15923076923076926
13,0.00999999977648,False,True,svhn,svm,0.066027397260273971,0.14534246575342466,0.1597692307692308
14,0.00999999977648,False,True,svhn,svm,0.06246575342465753,0.14424657534246577,0.16023076923076923
15,0.00999999977648,False,True,svhn,svm,0.052739726027397259,0.14575342465753424,0.16019230769230772
