epoch,learning_rate,stochastic,binary,which_data,outputlayer,this_training_loss,this_validation_loss,test_score
1,0.00300000002608,False,True,cifar10,svm,0.6724,0.67859999999999998,0.66869999999999985
2,0.00295644300058,False,True,cifar10,svm,0.63259999999999994,0.64419999999999999,0.62939999999999996
3,0.00291351834312,False,True,cifar10,svm,0.60459999999999992,0.61119999999999985,0.60170000000000001
4,0.00287121697329,False,True,cifar10,svm,0.57860000000000011,0.59179999999999988,0.58429999999999993
5,0.00282952957787,False,True,cifar10,svm,0.55360000000000009,0.57520000000000004,0.56909999999999994
6,0.00278844754212,False,True,cifar10,svm,0.52840000000000009,0.56100000000000005,0.55689999999999995
7,0.00274796201847,False,True,cifar10,svm,0.50940000000000007,0.5464,0.54290000000000005
8,0.00270806415938,False,True,cifar10,svm,0.48640000000000005,0.53339999999999999,0.53110000000000002
9,0.00266874558292,False,True,cifar10,svm,0.46340000000000003,0.52480000000000004,0.51960000000000006
10,0.00262999790721,False,True,cifar10,svm,0.44140000000000001,0.51500000000000001,0.51180000000000003
11,0.00259181298316,False,True,cifar10,svm,0.41699999999999998,0.50460000000000005,0.50250000000000006
12,0.00255418242887,False,True,cifar10,svm,0.38939999999999997,0.49680000000000007,0.49399999999999999
13,0.00251709809527,False,True,cifar10,svm,0.36220000000000008,0.49160000000000004,0.48960000000000004
14,0.00248055229895,False,True,cifar10,svm,0.33299999999999996,0.48139999999999999,0.4844
15,0.00244453712367,False,True,cifar10,svm,0.30020000000000002,0.47400000000000014,0.47910000000000008
16,0.00240904488601,False,True,cifar10,svm,0.26840000000000003,0.47220000000000006,0.47560000000000002
17,0.00237406790257,False,True,cifar10,svm,0.23860000000000006,0.46540000000000004,0.47320000000000007
18,0.00233959872276,False,True,cifar10,svm,0.20259999999999997,0.46420000000000017,0.47249999999999998
19,0.002305629896,False,True,cifar10,svm,0.1716,0.46439999999999998,0.47299999999999998
20,0.00227215443738,False,True,cifar10,svm,0.13500000000000001,0.46580000000000005,0.47360000000000002
21,0.00223916489631,False,True,cifar10,svm,0.10219999999999999,0.46880000000000011,0.47609999999999997
22,0.00220665428787,False,True,cifar10,svm,0.071799999999999989,0.4714000000000001,0.47980000000000006
23,0.00217461585999,False,True,cifar10,svm,0.047800000000000002,0.47020000000000012,0.48060000000000003
24,0.00214304262772,False,True,cifar10,svm,0.0264,0.47220000000000001,0.48360000000000009
25,0.00211192760617,False,True,cifar10,svm,0.0144,0.47599999999999992,0.48609999999999998
26,0.00208126450889,False,True,cifar10,svm,0.0080000000000000002,0.47759999999999997,0.48950000000000005
27,0.0020510465838,False,True,cifar10,svm,0.0048000000000000004,0.47680000000000006,0.48960000000000009
28,0.00202126731165,False,True,cifar10,svm,0.0021999999999999997,0.47700000000000004,0.49280000000000002
29,0.001991920406,False,True,cifar10,svm,0.0012000000000000001,0.48039999999999994,0.49380000000000002
30,0.00196299958043,False,True,cifar10,svm,0.00040000000000000002,0.48480000000000006,0.49439999999999995
