epoch,learning_rate,stochastic,binary,which_data,outputlayer,this_training_loss,this_validation_loss,test_score
1,0.00999999977648,True,True,svhn,svm,0.30972602739726024,0.31452054794520551,0.32157692307692309
2,0.00999999977648,True,True,svhn,svm,0.18643835616438356,0.20643835616438355,0.22126923076923077
3,0.00999999977648,True,True,svhn,svm,0.14602739726027397,0.17684931506849316,0.19030769230769232
4,0.00999999977648,True,True,svhn,svm,0.1247945205479452,0.1654794520547945,0.17680769230769233
5,0.00999999977648,True,True,svhn,svm,0.10698630136986299,0.15520547945205479,0.16938461538461541
6,0.00999999977648,True,True,svhn,svm,0.088630136986301372,0.14671232876712331,0.16396153846153849
7,0.00999999977648,True,True,svhn,svm,0.070136986301369858,0.1447945205479452,0.16253846153846155
8,0.00999999977648,True,True,svhn,svm,0.057123287671232877,0.14520547945205481,0.16196153846153846
9,0.00999999977648,True,True,svhn,svm,0.040958904109589044,0.14178082191780825,0.16334615384615386
10,0.00999999977648,True,True,svhn,svm,0.028630136986301367,0.14410958904109589,0.16261538461538461
11,0.00999999977648,True,True,svhn,svm,0.01821917808219178,0.14506849315068493,0.16284615384615386
12,0.00999999977648,True,True,svhn,svm,0.0098630136986301367,0.14602739726027397,0.16484615384615384
13,0.00999999977648,True,True,svhn,svm,0.0041095890410958909,0.14616438356164385,0.16638461538461541
14,0.00999999977648,True,True,svhn,svm,0.002054794520547945,0.14712328767123287,0.16657692307692309
15,0.00999999977648,True,True,svhn,svm,0.00095890410958904119,0.14780821917808218,0.16719230769230772
