epoch,learning_rate,stochastic,binary,which_data,outputlayer,this_training_loss,this_validation_loss,test_score
1,0.00999999977648,False,False,svhn,svm,0.19876712328767121,0.20726027397260272,0.22346153846153849
2,0.00999999977648,False,False,svhn,svm,0.14136986301369864,0.15945205479452054,0.17673076923076925
3,0.00999999977648,False,False,svhn,svm,0.11232876712328767,0.13945205479452055,0.16007692307692309
4,0.00999999977648,False,False,svhn,svm,0.089589041095890415,0.1328767123287671,0.15173076923076925
5,0.00999999977648,False,False,svhn,svm,0.071780821917808227,0.12589041095890413,0.14480769230769233
6,0.00999999977648,False,False,svhn,svm,0.05589041095890411,0.12671232876712329,0.14238461538461542
7,0.00999999977648,False,False,svhn,svm,0.041095890410958902,0.12616438356164383,0.14165384615384619
8,0.00999999977648,False,False,svhn,svm,0.029178082191780821,0.12739726027397261,0.14184615384615384
9,0.00999999977648,False,False,svhn,svm,0.019178082191780819,0.12739726027397258,0.14311538461538462
10,0.00999999977648,False,False,svhn,svm,0.012191780821917809,0.12917808219178081,0.1446923076923077
11,0.00999999977648,False,False,svhn,svm,0.0072602739726027399,0.13095890410958907,0.14523076923076925
12,0.00999999977648,False,False,svhn,svm,0.0043835616438356161,0.13123287671232881,0.14453846153846156
13,0.00999999977648,False,False,svhn,svm,0.0027397260273972603,0.13068493150684932,0.1445769230769231
14,0.00999999977648,False,False,svhn,svm,0.001506849315068493,0.13219178082191782,0.14642307692307696
15,0.00999999977648,False,False,svhn,svm,0.00068493150684931507,0.13397260273972605,0.14703846153846156
